rank,gene,prot_log2fc,prot_fdr,rna_log2fc,rna_fdr,uniprot,locations,surface_secreted,loc_reason,immune_rho,immune_infiltration_flag,assoc_expr,tractability,safety,selectivity,composite_0_100,retained_top12,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
50,C5AR1,1.4178547958179195,9.46310404676606e-20,1.3025853773633442,8.532246136394673e-20,P21730,Cell membrane; Cytoplasmic vesicle,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.5387237762237762,True,2.65,3.0,4.2,2.7,62.0,False,2,2,True,False,False,,AVACOPAN; AVDORALIMAB,,
51,CXCR4,1.1177218881130928,1.986489747170028e-10,2.734301611401533,1.8719666973618163e-27,P61073,Cell membrane; Cell junction; Early endosome; Late endosome; Lysosome,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.23098807309333624,False,2.98,3.0,4.2,2.0,61.9,False,8,3,True,True,True,,BALIXAFORTIDE; BURIXAFOR; CTCE-9908; MAVORIXAFOR; MOTIXAFORTIDE; MSX-122; PLERIXAFOR; ULOCUPLUMAB,MAVORIXAFOR,NCT02667886;NCT02923531
52,HAPLN1,2.0979536931835825,1.3546828517492518e-30,1.4423705214533813,7.64744591065955e-24,P10915,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.00883168406104186,False,3.48,1.5,4.2,3.5,61.9,True,0,0,False,False,False,,,,
53,PTPRC,1.3941862789390809,2.2635805433779345e-30,2.0094486536454395,1.5048352236096806e-25,P08575,Cell membrane; Membrane raft; Synapse,True,"locs=['Cell membrane', 'Membrane raft']; secreted=False; cellmem=True; kw_access=True",0.8659062732457228,True,3.47,3.0,2.9,2.7,61.7,False,2,2,True,False,False,,AHN-12; BC8 131I,,
54,HAVCR2,1.3766862761090264,3.094790098465009e-26,0.9458243273536491,4.943802791509982e-10,Q8TDQ0,Cell membrane; Cell junction; Cell membrane,True,"locs=['Cell membrane', 'Cell membrane']; secreted=False; cellmem=True; kw_access=True",0.15110965564148424,False,2.08,3.0,4.2,3.5,60.9,False,3,3,True,True,True,,COBOLIMAB; LOMVASTOMIG; SABATOLIMAB,SABATOLIMAB,NCT02608268
55,CSPG4,1.2890925692346213,1.1467814136327077e-30,1.7195931562234428,3.675127119239755e-22,Q6UVK1,"Cell membrane; Apical cell membrane; Cell projection, lamellipodium membrane; Cell surface",True,"locs=['Cell membrane', 'Apical cell membrane', 'Cell projection, lamellipodium membrane', 'Cell surface']; secreted=False; cellmem=True; kw_access=True",-0.2066451772873791,False,2.87,1.5,4.2,4.3,60.5,False,0,0,False,False,False,,,,
56,FCGR1A,1.3689990096925584,1.4063274821917121e-30,2.0031199647734246,2.1246622739387163e-27,P12314,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.7724770642201836,True,3.36,3.0,2.8,2.7,60.5,False,1,1,True,False,False,,MDX-447,,
57,PECAM1,1.0382160163600027,4.60179215657113e-30,1.5869380794692178,3.675127119239755e-22,P16284,Cell membrane; Cell membrane; Membrane raft; Cell junction; Cell junction,True,"locs=['Cell membrane', 'Cell membrane', 'Membrane raft']; secreted=False; cellmem=True; kw_access=True",-0.13211460000450828,False,1.59,3.0,4.2,4.3,60.3,False,0,0,False,False,False,,,,
58,PGF,1.065980774221667,2.1700640200219624e-09,3.118450755459212,1.0180277327294414e-26,P49763,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.15690123829658711,False,2.84,1.5,4.2,4.3,60.3,False,3,3,True,True,True,,AFLIBERCEPT; CONBERCEPT; TB-403,AFLIBERCEPT,NCT00357760;NCT00407485;NCT02298959;NCT06047379
59,HVCN1,1.1082961818446055,5.127977788244789e-27,0.997542150757446,1.2663884771464307e-27,Q96D96,"Cell membrane; Apical cell membrane; Cytoplasmic vesicle, phagosome membrane; Cell projection, cilium, flagellum membrane",True,"locs=['Cell membrane', 'Apical cell membrane', 'Cell projection, cilium, flagellum membrane']; secreted=False; cellmem=True; kw_access=True",0.4424552071668533,True,1.23,3.0,4.2,5.0,60.2,False,0,0,False,False,False,,,,
60,GZMA,1.1175878880415748,2.4370430284707617e-26,2.2834326936138196,1.5456654227986639e-25,P12544,Secreted; Cytoplasmic granule,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.5185357167008543,True,2.75,1.5,4.7,3.5,59.2,False,0,0,False,False,False,,,,
61,CD4,1.1310606138126962,1.134771136195633e-29,1.8456494048180363,7.515656127735108e-28,P01730,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.8296147690643103,True,2.43,3.0,2.7,4.3,59.2,False,8,3,True,True,True,,CLENOLIXIMAB; IBALIZUMAB; PRILIXIMAB; SEMZUVOLIMAB; TREGALIZUMAB; TRX-1; VRC-01LS; ZANOLIMUMAB,ZANOLIMUMAB,NCT01160445
62,LY86,1.06038285099361,0.004880266534583875,2.032819046574752,4.953321780107233e-28,O95711,"Secreted, extracellular space",True,"locs=['Secreted, extracellular space']; secreted=True; cellmem=False; kw_access=True",0.6098901098901098,True,2.32,1.5,4.7,4.3,59.0,False,0,0,False,False,False,,,,
63,SERPINE1,1.283984303006128,8.371418070699423e-27,1.712213840101211,7.824218574107074e-11,P05121,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.35316367242972746,False,2.81,3.0,3.2,2.7,58.6,False,1,1,True,False,False,,ALEPLASININ,,
64,ERO1A,1.3287100796544005,1.1467814136327077e-30,1.4721908266163481,8.365307224599676e-28,Q96HE7,"Endoplasmic reticulum membrane; Golgi apparatus lumen; Secreted; Cell projection, dendrite",True,"locs=['Secreted', 'Cell projection, dendrite']; secreted=True; cellmem=True; kw_access=True",-0.0767080675337556,False,2.65,1.5,4.7,3.5,58.6,False,0,0,False,False,False,,,,
65,COL5A3,1.467113564441517,2.770992413258677e-30,1.4244060717363871,2.3831506771392834e-23,P25940,"Secreted, extracellular space, extracellular matrix; Secreted",True,"locs=['Secreted, extracellular space, extracellular matrix', 'Secreted']; secreted=True; cellmem=False; kw_access=True",-0.17020940874151885,False,2.89,3.0,4.2,1.2,58.6,False,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
66,ITGA5,1.012284830137491,1.4063274821917121e-30,2.1402255844802154,5.919159927191286e-26,P08648,"Cell membrane; Cell junction, focal adhesion",True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.20584270676013797,False,2.03,3.0,4.2,2.7,57.9,False,3,2,True,True,True,,ATN-161; PF-04605412; VOLOCIXIMAB,ATN-161; VOLOCIXIMAB,NCT00100685;NCT00131651
67,ITGAM,1.0184752624191589,5.015228487558303e-30,1.6694502951281587,1.0573538797736875e-27,P11215,Cell membrane; Membrane raft,True,"locs=['Cell membrane', 'Membrane raft']; secreted=False; cellmem=True; kw_access=True",0.6389513784009196,True,1.56,3.0,4.2,3.5,57.4,False,1,0,False,False,False,,ROVELIZUMAB,,
68,GZMK,1.0361049287680761,1.0822871800156113e-18,2.0029002759994006,6.870480323639484e-21,P49863,Secreted; Cell surface; Cytoplasmic granule,True,"locs=['Secreted', 'Cell surface']; secreted=True; cellmem=True; kw_access=True",0.5445378151260504,True,2.08,1.5,4.7,4.3,57.4,False,0,0,False,False,False,,,,
69,P2RX7,1.673670402568002,1.0718776194444785e-24,2.017586527287987,2.6141340936578087e-28,Q99572,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.2900038744672607,False,3.93,3.0,1.7,2.0,57.1,False,5,2,True,False,False,,AZD9056; CE-224535; EVT401; GSK1482160; JNJ-54175446,,
